,InstanceType,IoOptimized,NetworkType,OSType,RegionId,hour,month,week,year,years-2,years-3,years-4,years-5
802,ecs.i1-c5d1.4xlarge,optimized,classic,windows,cn-shanghai,14.44,3365.44,942.32,34327.49,56539.39,60577.92,80770.56,100963.2
803,ecs.i1.3xlarge,optimized,vpc,linux,ap-southeast-2,5.63,2571.65,757.96,24363.0,38980.8,43853.4,46776.96,48726.0
804,ecs.n1.xlarge,optimized,vpc,windows,cn-shanghai,2.557,776.0,217.28,7915.2,13036.8,13968.0,18624.0,23280.0
805,ecs.d1-c8d3.8xlarge,optimized,vpc,linux,cn-hangzhou,23.218,6687.05,1970.92,63351.0,101361.6,114031.8,121633.92,126702.0
806,ecs.n2.3xlarge,optimized,vpc,windows,ap-southeast-1,11.304,5824.0,1630.71,59404.8,97843.2,104832.0,139776.0,174720.0
807,ecs.n4.large,optimized,vpc,linux,us-west-1,0.425,226.31,63.37,2308.36,3802.01,4073.58,5431.44,6789.3
808,ecs.n4.large,optimized,vpc,windows,cn-qingdao,0.675,204.0,57.12,2080.8,3427.2,3672.0,4896.0,6120.0
809,ecs.mn4.small,optimized,vpc,linux,eu-central-1,0.414,206.15,57.73,2102.73,3463.32,3710.7,4947.6,6184.5
810,ecs.n2.7xlarge,optimized,classic,linux,cn-qingdao,16.32,4704.0,1317.12,47980.8,79027.2,84672.0,112896.0,141120.0
811,ecs.sn2ne.xlarge,optimized,vpc,linux,ap-southeast-3,1.615,730.55,215.32,6921.0,11073.6,12457.8,13288.32,13842.0
812,ecs.gn5-c4g1.xlarge,optimized,vpc,linux,cn-hongkong,11.95,5453.0,1607.19,51660.0,82656.0,92988.0,99187.2,103320.0
813,ecs.m2.medium,optimized,classic,linux,cn-hangzhou,3.38,972.0,272.16,9914.4,16329.6,17496.0,23328.0,29160.0
814,ecs.sn2ne.4xlarge,optimized,vpc,linux,cn-hangzhou,7.543,2173.6,640.64,20592.0,32947.2,37065.6,39536.64,41184.0
815,ecs.d1.2xlarge,optimized,vpc,windows,cn-hangzhou,6.042,1741.35,513.24,16497.0,26395.2,29694.6,31674.24,32994.0
816,ecs.t5-c1m4.large,optimized,vpc,linux,cn-hongkong,0.52,201.4,59.35,1908.0,3052.8,3434.4,3663.36,3816.0
817,ecs.se1.2xlarge,optimized,classic,linux,cn-beijing,6.14,1464.0,409.92,14932.8,24595.2,26352.0,35136.0,43920.0
818,ecs.n1.3xlarge,optimized,classic,windows,cn-shenzhen,5.39,1552.0,434.56,15830.4,26073.6,27936.0,37248.0,46560.0
819,ecs.m1.medium,optimized,vpc,linux,cn-shanghai,2.04,588.0,164.64,5997.6,9878.4,10584.0,14112.0,17640.0
820,ecs.m2.xlarge,optimized,classic,linux,cn-beijing,6.75,1944.0,544.32,19828.8,32659.2,34992.0,46656.0,58320.0
821,ecs.mn4.xlarge,optimized,vpc,linux,ap-southeast-1,1.544,782.28,219.03,7979.26,13142.3,14081.04,18774.72,23468.4
822,ecs.se1ne.2xlarge,optimized,vpc,windows,ap-northeast-1,7.3,4076.45,1141.41,41579.79,83159.58,124739.37,166319.16,207898.95
823,ecs.sn1ne.2xlarge,optimized,vpc,linux,ap-southeast-2,3.246,1448.63,426.96,13723.83,21958.13,24702.89,26349.75,27447.66
824,ecs.s2.large,optimized,vpc,linux,cn-hongkong,0.503,259.0,72.51,2641.8,4351.2,4662.0,6216.0,7770.0
825,ecs.n1.large,optimized,vpc,windows,cn-qingdao,1.283,388.0,108.64,3957.6,6518.4,6984.0,9312.0,11640.0
826,ecs.hfc5.6xlarge,optimized,vpc,windows,cn-shenzhen,11.048,3180.6,937.44,30132.0,48211.2,54237.6,57853.44,60264.0
827,ecs.e3.medium,optimized,vpc,linux,cn-hongkong,1.104,514.37,144.01,5246.57,8641.42,9258.66,12344.88,15431.1
828,ecs.t5-lc2m1.nano,optimized,vpc,linux,cn-hangzhou,0.06,17.1,5.04,162.0,259.2,291.6,311.04,324.0
829,ecs.gn5-c4g1.2xlarge,optimized,vpc,windows,us-east-1,28.08,9852.45,2903.87,93339.0,149342.4,168010.2,179210.88,186678.0
830,ecs.n4.8xlarge,optimized,vpc,linux,cn-shanghai,10.763,3264.0,913.92,33292.8,54835.2,58752.0,78336.0,97920.0
831,ecs.s3.large,optimized,classic,windows,cn-shanghai,1.38,396.0,110.88,4039.2,6652.8,7128.0,9504.0,11880.0
832,ecs.gn5i-c2g1.large,optimized,vpc,linux,cn-hangzhou,8.246,2375.0,700.0,22500.0,36000.0,40500.0,43200.0,45000.0
833,ecs.t5-c1m2.4xlarge,optimized,vpc,windows,ap-southeast-2,3.36,1717.6,506.24,16272.0,26035.2,29289.6,31242.24,32544.0
834,ecs.t5-lc1m2.small,optimized,vpc,linux,cn-shenzhen,0.159,45.6,13.44,432.0,691.2,777.6,829.44,864.0
835,ecs.t5-c1m4.xlarge,optimized,vpc,windows,ap-southeast-1,1.22,586.15,172.75,5553.0,8884.8,9995.4,10661.76,11106.0
836,ecs.sn2ne.large,optimized,vpc,linux,us-west-1,0.848,410.04,120.85,3884.58,6215.33,6992.24,7458.39,7769.16
837,ecs.n4.4xlarge,optimized,vpc,windows,ap-southeast-2,10.322,5038.0,1410.64,51387.6,84638.4,90684.0,120912.0,151140.0
838,ecs.e3.large,optimized,vpc,linux,me-east-1,2.537,1353.0,378.84,13800.6,27601.2,41401.8,55202.4,69003.0
839,ecs.hfc5.xlarge,optimized,vpc,windows,cn-qingdao,1.842,530.1,156.24,5022.0,8035.2,9039.6,9642.24,10044.0
840,ecs.i1.14xlarge,optimized,vpc,linux,eu-central-1,25.74,11741.05,3460.53,111231.0,177969.6,200215.8,213563.52,222462.0
841,ecs.sn2.13xlarge,optimized,vpc,linux,eu-central-1,23.171,11544.82,3232.56,117757.16,193952.98,207806.76,277075.68,346344.6
842,ecs.mn4.4xlarge,optimized,vpc,linux,cn-zhangjiakou,6.545,1984.0,555.52,20236.8,33331.2,35712.0,47616.0,59520.0
843,ecs.n1.large,optimized,vpc,linux,us-west-1,1.32,680.0,190.4,6936.0,11424.0,12240.0,16320.0,20400.0
844,ecs.d1.14xlarge,optimized,vpc,windows,ap-southeast-1,43.76,24947.0,7352.79,236340.0,378144.0,425412.0,453772.8,472680.0
845,ecs.i1-c10d1.8xlarge,optimized,vpc,windows,us-east-1,22.35,12743.3,3755.91,120726.0,193161.6,217306.8,231793.92,241452.0
